Tipologia;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-10;2024-11;2025-01;2025-03;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;Media
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di altri pro;125136.5;316484.7;313231.0;131981.1;181750.2;269027.8;294376.3;148481.0;174759.5;629182.6;454889.9;186370.7;252652.2;311425.1;201900.3;158478.7;146672.1;463911.0;264483.9
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di bevande  ;212783.0;231056.0;225893.0;254750.0;291826.0;408701.0;386957.0;226679.0;208498.0;186106.0;196214.0;309844.0;360481.0;364814.0;276356.0;222316.0;197425.0;198513.0;264400.7
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Servizi dei saloni di barbiere ;246664.2;224877.8;201067.0;227645.6;203483.6;321406.6;377382.2;248446.4;233987.6;330662.0;279614.8;212651.4;292192.8;344580.6;228200.2;228408.6;207688.4;300504.0;261636.9
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Aree di campeggio e aree attrez;164316.0;94844.0;98807.0;91798.0;112140.4;384980.6;595249.2;113581.2;211534.6;320282.2;134538.0;239712.0;481321.0;575096.6;211021.8;194506.6;188379.4;258394.2;248361.3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Commercio al dettaglio di orologi e;;;;24965.0;219368.0;438190.0;426144.0;0.0;27204.0;440005.0;261247.0;172179.0;416607.0;434019.0;175995.0;10631.0;75992.0;454487.0;238468.9
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Attività di servizi di intermediazi;;;;194430.2;186314.8;222408.2;225750.8;211679.2;194688.8;254595.8;199061.0;166692.5;203692.2;217215.8;213980.5;283450.5;356348.5;409737.8;236003.1
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Rivestimento di pavimenti e di pare;280368.3;269966.0;270336.0;250587.3;204875.7;227192.7;189398.7;244004.7;290404.0;252759.7;309113.0;177158.7;181250.0;174099.7;192572.3;195974.0;237097.7;268027.7;234177.0
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | 2022Corsi sportivi e ricreativi    ;;;7132.0;73436.0;53290.7;62600.0;59062.0;139119.7;443268.7;617202.7;441457.7;62289.3;61384.0;64642.3;58164.0;185202.0;401067.7;963696.0;230813.4
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Tinteggiatura e posa in opera di ve;181558.5;160325.5;170170.5;194237.0;148941.0;217181.0;171904.0;295744.0;300993.5;243863.5;194592.5;212330.0;221125.5;255711.5;413043.0;239639.0;274611.5;223920.5;228882.9
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Produzione di birra                ;153356.0;218448.0;157818.0;185467.0;177267.0;220095.0;219863.0;286734.0;236594.0;243765.0;180245.0;275948.0;277441.0;322896.0;327706.0;258918.0;163095.0;177812.0;226859.3
BASSA TENSIONE POTEN | BT CLIENTI LIBERI F3 | Altri trasporti terrestri di passeg;;;;;64392.0;127070.0;191464.0;11010.0;372119.0;498606.0;227169.0;67435.0;121776.0;159525.0;77739.0;14865.0;565538.0;614240.0;222353.4
